ID_Exp,Familia,Modelo,Resolucao,Best_Epoch,Val_Loss_Final,Tempo_Total_min,Acuracia,F1_Score,Recall,AUC,Batch_Size
Auto,CNN,tf_efficientnetv2_s,224x224,8,0.5836,7.39,0.8078,0.25,0.1765,0.7124,32
Auto,CNN,densenet201,224x224,7,0.1923,7.93,0.8292,0.1111,0.0588,0.8017,32
Auto,ViT,vit_base_patch16_224,224x224,43,0.4197,22.13,0.7224,0.371,0.451,0.671,16
Auto,ViT,deit_base_distilled_patch16_224,224x224,5,0.2117,7.53,0.8363,0.2581,0.1569,0.7727,32
Auto,ViT,beit_base_patch16_224,224x224,24,0.5142,15.68,0.6868,0.4211,0.6275,0.7445,16
Auto,Hybrid,swinv2_tiny_window16_256,256x256,13,0.2552,26.69,0.8327,0.3188,0.2157,0.8028,32
Auto,Hybrid,maxvit_rmlp_tiny_rw_256,256x256,3,0.2373,8.25,0.8256,0.1404,0.0784,0.7919,16
Auto,Hybrid,coatnet_2_rw_224,224x224,32,0.272,23.5,0.8185,0.0377,0.0196,0.7176,16
Auto_YOLO_Bal,CNN (YOLO),yolov8s-cls.pt (Balanceado),224x224,Auto,N/A,N/A,0.8221,0.0385,0.0196,0.6431,32
