epoch,train_loss,val_loss
1,1.1452279293312218,0.5768744030169078
2,0.6782131959807198,0.5831030543361392
3,0.6108396649360657,0.7065499978406089
4,0.5669333529922197,0.6756744001592908
5,0.5136838791505346,0.8007773054497582
6,0.535583403875243,0.46567631300006596
7,0.4491133436841785,0.430402866431645
8,0.41261159586456586,0.3798542522958347
9,0.38853307377617313,0.3795710355043411
10,0.3687265599673649,0.3577771357127598
11,0.36101908841223085,0.35650710655110224
12,0.43936089918298543,0.49004015432936804
13,0.37454495396254195,0.3723095485142299
14,0.3427882003334333,0.4347820580005646
15,0.38576584098474037,0.4613001431737627
16,0.31063288590818083,0.3249383994511196
17,0.2819662577701065,0.4157097786664963
18,0.2546755407216414,0.33259992940085276
19,0.2587148519057148,0.30795520331178394
20,0.24816081068425808,0.36746971415621893
21,0.23973594071730128,0.32339284888335634
22,0.22737815919912086,0.3386905054960932
23,0.2328658109565951,0.3333856537938118
24,0.21887256992313098,0.35703081850494656
25,0.21583183165991082,0.3321246313197272
26,0.21155758089614365,0.3776569813489914
27,0.20595700813914244,0.3633839956351689
28,0.20885229673025743,0.37001877810273853
29,0.20778926813377524,0.34109122838292805
30,0.20646507925582383,0.34339243386472973
31,0.2032510019698233,0.34468076271670206
32,0.21384965979828024,0.34060563679252354
33,0.2529449825579265,0.46086988278797697
34,0.2697101024524221,0.3587758594325611
