epoch,train_loss,val_loss
1,0.6784480843903884,0.6504236332007817
2,0.6447179519905234,0.6381171728883471
3,0.6074786264941378,0.6188187684331622
4,0.5794290973330444,0.604900232383183
5,0.5600186794433953,0.5971005197082248
6,0.5468984111300055,0.5773101896047592
7,0.5110313583095119,0.5652483531406948
8,0.523566631213674,0.5344521020139966
9,0.4943244086121613,0.5540685249226434
10,0.5024571609946916,0.5647561188255038
11,0.4974116896683315,0.5401594106640134
12,0.48915640700538204,0.49813048967293333
13,0.4548174744507052,0.4780705379588263
14,0.43212895517079336,0.4754991318498339
15,0.42975576137596705,0.41662504417555674
16,0.42139586019066144,0.41019896950040546
17,0.4113881211235838,0.4212266632488796
18,0.40939349610850495,0.4255623881305967
19,0.3814902311226107,0.3875376805663109
20,0.38803390511926616,0.39012427415166584
21,0.39151097299917687,0.3856953116399901
22,0.3759104828789549,0.39968324452638626
23,0.37094380945529576,0.38877467598233906
24,0.3799883683897414,0.39848643115588595
25,0.39557187680928213,0.38177950786692755
26,0.369325560781191,0.38328359169619425
27,0.3656169665309618,0.3946873162473951
28,0.37027608842219945,0.3746001347899437
29,0.3758763738398282,0.38268647875104633
30,0.36709890950400875,0.3912149763533047
31,0.3595886489130416,0.3775235467723438
32,0.3713109071524638,0.3872781214969499
33,0.36803998699728047,0.3650850419487272
34,0.35817735093944475,0.3710767924785614
35,0.34782672097098155,0.35470384997980936
36,0.35313397870873503,0.35786798702819006
37,0.34510688568061254,0.3543593574847494
38,0.3439898035436306,0.3763379028865269
39,0.3310949495940838,0.34885463757174356
40,0.3431671098718103,0.3577865074787821
41,0.324207142276584,0.3532919351543699
42,0.3423247067433483,0.35228831321001053
43,0.3290682229793297,0.35552989159311565
44,0.33584648455088995,0.35328701564243864
45,0.31929022129976525,0.339555738227708
46,0.3160671906651191,0.3665355635540826
47,0.32001572847366333,0.3345401574458395
48,0.3161413180378248,0.3423511045319693
49,0.31650229192005014,0.33621670625039507
50,0.3159908868794171,0.33916530651705606
51,0.3178583324517844,0.3267676000084196
52,0.30883244382885267,0.3258675677435739
53,0.30184573525527736,0.32735504848616465
54,0.30638003771035177,0.337108667407717
55,0.2970186767150771,0.3441435183797564
56,0.30517648385380797,0.34005649920020786
57,0.29827571758684124,0.34292477475745337
58,0.3063163453677915,0.3361637166568211
59,0.290486585700287,0.3309246844479016
60,0.2895531210134614,0.3386457913688251
61,0.30041231468038737,0.34139461176736013
62,0.3059487117911285,0.367498730974538
63,0.2907647431459067,0.3555190658995083
64,0.2958636969890235,0.3438115513750485
65,0.28883361619598463,0.34453304750578745
66,0.29025313398748076,0.3404549402850015
67,0.2970899554356089,0.33799796125718523
