epoch,train_loss,val_loss
1,2.4732043577252694,1.8842288992314968
2,1.2241234540377024,0.9546992253020125
3,0.5998460951981679,0.4392469902083559
4,0.40154026631476747,0.4515961343949696
5,0.3750990277050801,0.5296719785568849
6,0.3496610875118454,0.4182982380097767
7,0.33863355036614073,0.3701001973646992
8,0.3238255815967074,0.43723696695183806
9,0.2987965152792211,0.38274893558250284
10,0.30834794845783486,0.41165161048466303
11,0.30569494494570876,0.4171186823327586
12,0.3356872534836238,0.41551404657228935
13,0.30969784345548107,0.4374475451010578
14,0.3118180738726877,0.34994058704601144
15,0.2904751641710974,0.32586450284382085
16,0.27009584600070735,0.35625552765603336
17,0.2807227555170374,0.29806873146093116
18,0.2707675578740408,0.32669662613913697
19,0.2615602185141365,0.2983675503505851
20,0.24453356095923567,0.2935082960241246
21,0.24834990417057612,0.3028221844502215
22,0.2477960320857336,0.31406522218911154
23,0.24182433248409685,0.3127855540446515
24,0.2338600626109906,0.3196177423562644
25,0.2359369827328988,0.3048839271068573
26,0.23344864710321966,0.2969834155069207
27,0.23189685585082703,0.30066548034829915
28,0.23093103582285485,0.3015734036013765
29,0.23290532482963688,0.302163099624076
30,0.22684965894188522,0.3025975786852387
31,0.23302273613945493,0.30713936011746246
32,0.23447624910271392,0.2880303941245349
33,0.23986350337289414,0.28917822747860317
34,0.25352340318122,0.3078448106095476
35,0.24643610143717729,0.33641413388387215
36,0.24569409656918273,0.31946962172130366
37,0.2410779854739612,0.30618988089966326
38,0.23444980551611702,0.3515562552888438
39,0.23653645483109187,0.28625729117753373
40,0.2303679555232795,0.2748698527520558
41,0.23252783055013082,0.2798789981401192
42,0.22655630856752396,0.2884098288585555
43,0.21823910940087066,0.26542638917014283
44,0.21762217686704868,0.2726315678852909
45,0.22072617421453855,0.27032511976529966
46,0.21714989145128233,0.28669675481769274
47,0.2177686295559946,0.27485678471484276
48,0.2174754929992388,0.2669351986556683
49,0.21460303010524445,0.2621685986248952
50,0.21576668188538192,0.26811527812256003
51,0.2134804160527463,0.27594338835410354
52,0.21114596169231073,0.26765292011341957
53,0.2109612486553642,0.2783449129113611
54,0.21064412165081725,0.2695622255779662
55,0.2098681332789502,0.2636624054526383
56,0.21017802288790918,0.2676092664588173
57,0.20900333700877316,0.26339537102096483
58,0.20949112637987677,0.2689600243883313
59,0.20936249653404615,0.2593335101626954
60,0.20786807995359852,0.2647485347851267
61,0.20768321101676743,0.2647902805287883
62,0.2068929545019033,0.2652806698713662
63,0.20752384689337802,0.2667953265163134
64,0.2070745660589551,0.2633790373802185
65,0.20801296162436594,0.26415300734762875
66,0.20766853428674195,0.2623163177719656
67,0.20577013886199808,0.2618181612694038
68,0.20637745269626942,0.26438580003549467
69,0.20579668317201003,0.2644422661583379
70,0.2068500928580761,0.2609376311302185
71,0.20640204741426235,0.2636284164662631
72,0.24597146952489637,0.3797103026003208
73,0.3754074266356117,0.4567565257256886
74,0.29027253522906665,0.31407530830716185
