Rede,Acuracia,AUC,F1-Score,Precisao,Recall (Sensibilidade),Recall Benigno,Recall Maligno,F1 Benigno,F1 Maligno
tf_efficientnetv2_l,0.9502,0.9587,0.8478,0.9512,0.7647,0.9913,0.7647,0.9702,0.8478
resnet50,0.9039,0.9424,0.7652,0.6875,0.8627,0.913,0.8627,0.9396,0.7652
densenet121,0.9359,0.929,0.8163,0.8511,0.7843,0.9696,0.7843,0.9612,0.8163
